Label (Grouping),RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!Bachelor's degree or higher,"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone, not Hispanic or Latino","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone, not Hispanic or Latino!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone, not Hispanic or Latino!!Bachelor's degree or higher",RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Black alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Black alone!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Black alone!!Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!American Indian or Alaska Native alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!American Indian or Alaska Native alone!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!American Indian or Alaska Native alone!!Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Asian alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Asian alone!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Asian alone!!Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Native Hawaiian and Other Pacific Islander alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Native Hawaiian and Other Pacific Islander alone!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Native Hawaiian and Other Pacific Islander alone!!Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Some other race alone,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Some other race alone!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Some other race alone!!Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Two or more races,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Two or more races!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Two or more races!!Bachelor's degree or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Hispanic or Latino Origin,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Hispanic or Latino Origin!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Hispanic or Latino Origin!!Bachelor's degree or higher
        Margin of Error,,(X),±9.5,±5.3,(X),±10.2,±5.8,(X),±7.4,±17.9,(X),**,**,(X),±54.8,±54.8,(X),**,**,(X),±12.4,±21.7,(X),±67.2,±67.2,(X),±7.7,±17.0
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,317,317,304,298,298,285,"1,043",913,354,0,0,0,31,31,24,0,0,0,92,86,53,62,62,62,165,159,126
        Margin of Error,,±72,±72,±71,±69,±69,±69,±277,±271,±180,±13,±13,±13,±27,±27,±25,±13,±13,±13,±89,±99,±59,±63,±63,±63,±107,±116,±87
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,95.90%,(X),100.00%,95.60%,(X),87.50%,33.90%,(X),-,-,(X),100.00%,77.40%,(X),-,-,(X),93.50%,57.60%,(X),100.00%,100.00%,(X),96.40%,76.40%
        Margin of Error,,(X),±11.8,±5.3,(X),±12.5,±5.7,(X),±7.7,±12.2,(X),**,**,(X),±59.1,±38.0,(X),**,**,(X),±30.2,±17.2,(X),±41.8,±41.8,(X),±11.7,±13.4
"Census Tract 23.02, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,513,513,358,495,495,349,684,602,363,0,0,0,121,121,121,0,0,0,12,3,3,29,29,29,30,21,12
        Margin of Error,,±191,±191,±170,±191,±191,±170,±190,±178,±108,±13,±13,±13,±116,±116,±116,±13,±13,±13,±18,±11,±11,±30,±30,±30,±32,±29,±19
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,69.80%,(X),100.00%,70.50%,(X),88.00%,53.10%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),25.00%,25.00%,(X),100.00%,100.00%,(X),70.00%,40.00%
        Margin of Error,,(X),±7.5,±13.7,(X),±7.8,±13.7,(X),±8.7,±12.3,(X),**,**,(X),±27.5,±27.5,(X),**,**,(X),±75.0,±75.0,(X),±61.1,±61.1,(X),±45.2,±40.4
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,411,411,287,402,402,287,283,231,85,0,0,0,34,34,34,0,0,0,9,0,0,29,29,29,18,9,0
        Margin of Error,,±174,±174,±160,±173,±173,±160,±126,±110,±48,±13,±13,±13,±33,±33,±33,±13,±13,±13,±14,±13,±13,±30,±30,±30,±20,±14,±13
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,69.80%,(X),100.00%,71.40%,(X),81.60%,30.00%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),0.00%,0.00%,(X),100.00%,100.00%,(X),50.00%,0.00%
        Margin of Error,,(X),±9.3,±16.0,(X),±9.5,±15.6,(X),±17.6,±14.9,(X),**,**,(X),±56.4,±56.4,(X),**,**,(X),±100.0,±100.0,(X),±61.1,±61.1,(X),±50.0,±77.5
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,102,102,71,93,93,62,401,371,278,0,0,0,87,87,87,0,0,0,3,3,3,0,0,0,12,12,12
        Margin of Error,,±57,±57,±47,±55,±55,±44,±117,±117,±95,±13,±13,±13,±108,±108,±108,±13,±13,±13,±11,±11,±11,±13,±13,±13,±19,±19,±19
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,69.60%,(X),100.00%,66.70%,(X),92.50%,69.30%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),100.00%,100.00%
        Margin of Error,,(X),±31.3,±25.3,(X),±33.4,±27.4,(X),±7.2,±13.9,(X),**,**,(X),±34.9,±34.9,(X),**,**,(X),±100.0,±100.0,(X),**,**,(X),±95.0,±95.0
"Census Tract 24, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,"1,504","1,352","1,079","1,162","1,162","1,016","1,165","1,035",473,0,0,0,85,85,85,0,0,0,81,49,33,586,125,69,973,295,96
        Margin of Error,,±204,±214,±224,±219,±219,±211,±208,±201,±149,±13,±13,±13,±48,±48,±48,±13,±13,±13,±83,±42,±36,±534,±85,±68,±580,±126,±59
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),89.90%,71.70%,(X),100.00%,87.40%,(X),88.80%,40.60%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),60.50%,40.70%,(X),21.30%,11.80%,(X),30.30%,9.90%
        Margin of Error,,(X),±6.9,±10.8,(X),±3.4,±7.5,(X),±6.9,±10.9,(X),**,**,(X),±35.4,±35.4,(X),**,**,(X),±35.5,±52.8,(X),±28.7,±20.5,(X),±19.4,±9.3
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,742,666,524,570,570,506,411,326,71,0,0,0,22,22,22,0,0,0,65,33,33,465,74,18,684,185,51
        Margin of Error,,±155,±156,±152,±152,±152,±148,±126,±112,±47,±13,±13,±13,±28,±28,±28,±13,±13,±13,±60,±36,±36,±437,±60,±29,±464,±93,±40
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),89.80%,70.60%,(X),100.00%,88.80%,(X),79.30%,17.30%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),50.80%,50.80%,(X),15.90%,3.90%,(X),27.00%,7.50%
        Margin of Error,,(X),±8.2,±12.7,(X),±6.8,±11.0,(X),±15.4,±11.7,(X),**,**,(X),±70.1,±70.1,(X),**,**,(X),±50.8,±50.8,(X),±23.3,±10.1,(X),±20.9,±8.4
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,762,686,555,592,592,510,754,709,402,0,0,0,63,63,63,0,0,0,16,16,0,121,51,51,289,110,45
        Margin of Error,,±109,±117,±132,±123,±123,±122,±174,±165,±152,±13,±13,±13,±42,±42,±42,±13,±13,±13,±26,±26,±13,±109,±47,±47,±138,±63,±44
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),90.00%,72.80%,(X),100.00%,86.10%,(X),94.00%,53.30%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),100.00%,0.00%,(X),42.10%,42.10%,(X),38.10%,15.60%
        Margin of Error,,(X),±6.8,±11.9,(X),±6.5,±9.0,(X),±5.9,±14.5,(X),**,**,(X),±41.5,±41.5,(X),**,**,(X),±82.2,±82.3,(X),±48.1,±48.1,(X),±20.7,±16.6
"Census Tract 25.01, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,553,545,491,511,503,449,924,755,191,0,0,0,42,42,33,0,0,0,779,530,180,67,52,24,902,632,222
        Margin of Error,,±134,±136,±136,±124,±126,±128,±212,±249,±94,±13,±13,±13,±36,±36,±30,±13,±13,±13,±487,±462,±167,±56,±45,±35,±484,±464,±170
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),98.60%,88.80%,(X),98.40%,87.90%,(X),81.70%,20.70%,(X),-,-,(X),100.00%,78.60%,(X),-,-,(X),68.00%,23.10%,(X),77.60%,35.80%,(X),70.10%,24.60%
        Margin of Error,,(X),±2.5,±7.6,(X),±2.7,±8.3,(X),±10.9,±10.0,(X),**,**,(X),±50.8,±27.4,(X),**,**,(X),±24.6,±14.0,(X),±28.4,±48.4,(X),±20.4,±12.5
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,242,234,202,204,196,164,477,381,76,0,0,0,8,8,8,0,0,0,563,371,41,47,32,24,624,417,79
        Margin of Error,,±75,±76,±73,±66,±67,±70,±172,±187,±56,±13,±13,±13,±13,±13,±13,±13,±13,±13,±317,±290,±66,±42,±37,±35,±312,±291,±74
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),96.70%,83.50%,(X),96.10%,80.40%,(X),79.90%,15.90%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),65.90%,7.30%,(X),68.10%,51.10%,(X),66.80%,12.70%
        Margin of Error,,(X),±5.7,±9.8,(X),±6.8,±13.2,(X),±15.8,±12.6,(X),**,**,(X),±100.0,±100.0,(X),**,**,(X),±24.1,±14.1,(X),±48.2,±51.1,(X),±21.7,±15.4
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,311,311,289,307,307,285,447,374,115,0,0,0,34,34,25,0,0,0,216,159,139,20,20,0,278,215,143
        Margin of Error,,±79,±79,±79,±80,±80,±79,±125,±125,±62,±13,±13,±13,±33,±33,±29,±13,±13,±13,±211,±189,±185,±22,±22,±13,±215,±195,±185
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,92.90%,(X),100.00%,92.80%,(X),83.70%,25.70%,(X),-,-,(X),100.00%,73.50%,(X),-,-,(X),73.60%,64.40%,(X),100.00%,0.00%,(X),77.30%,51.40%
        Margin of Error,,(X),±12.1,±11.1,(X),±12.2,±11.3,(X),±10.4,±13.9,(X),**,**,(X),±56.4,±38.5,(X),**,**,(X),±28.7,±42.4,(X),±73.6,±73.6,(X),±20.7,±39.7
"Census Tract 25.03, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,997,979,885,873,873,844,"1,339","1,109",537,0,0,0,98,98,98,0,0,0,258,18,0,106,106,106,572,314,130
        Margin of Error,,±251,±251,±252,±268,±268,±262,±462,±417,±402,±13,±13,±13,±77,±77,±77,±13,±13,±13,±211,±26,±13,±78,±78,±78,±222,±156,±84
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),98.20%,88.80%,(X),100.00%,96.70%,(X),82.80%,40.10%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),7.00%,0.00%,(X),100.00%,100.00%,(X),54.90%,22.70%
        Margin of Error,,(X),±3.1,±8.9,(X),±4.5,±4.1,(X),±10.1,±21.4,(X),**,**,(X),±32.2,±32.2,(X),**,**,(X),±12.7,±14.3,(X),±30.4,±30.4,(X),±27.7,±14.5
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,422,422,417,422,422,417,971,825,478,0,0,0,47,47,47,0,0,0,82,0,0,48,48,48,195,113,52
        Margin of Error,,±179,±179,±179,±179,±179,±179,±439,±415,±403,±13,±13,±13,±45,±45,±45,±13,±13,±13,±126,±13,±13,±57,±57,±57,±160,±88,±60
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,98.80%,(X),100.00%,98.80%,(X),85.00%,49.20%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),0.00%,0.00%,(X),100.00%,100.00%,(X),57.90%,26.70%
        Margin of Error,,(X),±9.0,±3.0,(X),±9.0,±3.0,(X),±9.9,±25.9,(X),**,**,(X),±48.0,±48.0,(X),**,**,(X),±36.1,±36.1,(X),±47.5,±47.5,(X),±43.8,±34.8
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,575,557,468,451,451,427,368,284,59,0,0,0,51,51,51,0,0,0,176,18,0,58,58,58,377,201,78
        Margin of Error,,±215,±217,±182,±187,±187,±179,±124,±103,±40,±13,±13,±13,±41,±41,±41,±13,±13,±13,±137,±26,±13,±51,±51,±51,±152,±124,±56
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),96.90%,81.40%,(X),100.00%,94.70%,(X),77.20%,16.00%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),10.20%,0.00%,(X),100.00%,100.00%,(X),53.30%,20.70%
        Margin of Error,,(X),±5.5,±13.4,(X),±8.5,±7.5,(X),±17.2,±12.3,(X),**,**,(X),±46.1,±46.1,(X),**,**,(X),±17.0,±20.2,(X),±43.2,±43.2,(X),±29.9,±14.4
"Census Tract 25.04, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,"1,270","1,026",623,642,642,577,873,624,343,0,0,0,192,192,169,0,0,0,470,217,0,245,245,236,"1,168",671,107
        Margin of Error,,±602,±424,±167,±163,±163,±167,±363,±222,±183,±13,±13,±13,±144,±144,±144,±13,±13,±13,±269,±206,±13,±255,±255,±255,±490,±426,±83
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),80.80%,49.10%,(X),100.00%,89.90%,(X),71.50%,39.30%,(X),-,-,(X),100.00%,88.00%,(X),-,-,(X),46.20%,0.00%,(X),100.00%,96.30%,(X),57.40%,9.20%
        Margin of Error,,(X),±20.6,±21.5,(X),±6.0,±8.5,(X),±16.2,±18.0,(X),**,**,(X),±18.7,±16.7,(X),**,**,(X),±35.0,±8.2,(X),±15.0,±11.6,(X),±21.4,±8.3
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,709,586,318,316,316,286,579,397,182,0,0,0,86,86,63,0,0,0,234,116,0,178,178,178,648,407,53
        Margin of Error,,±375,±304,±102,±105,±105,±108,±299,±170,±112,±13,±13,±13,±53,±53,±51,±13,±13,±13,±215,±167,±13,±248,±248,±248,±365,±325,±49
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),82.70%,44.90%,(X),100.00%,90.50%,(X),68.60%,31.40%,(X),-,-,(X),100.00%,73.30%,(X),-,-,(X),49.60%,0.00%,(X),100.00%,100.00%,(X),62.80%,8.20%
        Margin of Error,,(X),±20.2,±23.8,(X),±11.9,±10.2,(X),±24.7,±22.8,(X),**,**,(X),±35.1,±29.9,(X),**,**,(X),±47.8,±15.7,(X),±20.0,±20.0,(X),±24.9,±9.0
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,561,440,305,326,326,291,294,227,161,0,0,0,106,106,106,0,0,0,236,101,0,67,67,58,520,264,54
        Margin of Error,,±270,±172,±125,±127,±127,±131,±165,±150,±127,±13,±13,±13,±115,±115,±115,±13,±13,±13,±114,±113,±13,±62,±62,±61,±182,±173,±69
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),78.40%,54.40%,(X),100.00%,89.30%,(X),77.20%,54.80%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),42.80%,0.00%,(X),100.00%,86.60%,(X),50.80%,10.40%
        Margin of Error,,(X),±22.0,±22.4,(X),±11.5,±12.0,(X),±22.2,±23.2,(X),**,**,(X),±30.4,±30.4,(X),**,**,(X),±41.8,±15.5,(X),±40.2,±36.4,(X),±22.3,±12.6
"Census Tract 26, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,852,852,799,804,804,758,"1,051","1,049",884,8,8,8,115,115,93,0,0,0,143,119,34,66,59,11,251,220,80
        Margin of Error,,±82,±82,±81,±81,±81,±78,±523,±523,±516,±12,±12,±12,±68,±68,±45,±13,±13,±13,±160,±124,±34,±93,±77,±22,±175,±137,±46
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,93.80%,(X),100.00%,94.30%,(X),99.80%,84.10%,(X),100.00%,100.00%,(X),100.00%,80.90%,(X),-,-,(X),83.20%,23.80%,(X),89.40%,16.70%,(X),87.60%,31.90%
        Margin of Error,,(X),±4.6,±3.3,(X),±4.8,±3.6,(X),±0.3,±9.6,(X),±100.0,±100.0,(X),±28.6,±20.3,(X),**,**,(X),±11.6,±49.3,(X),±15.4,±38.0,(X),±9.7,±32.2
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,483,483,443,467,467,434,456,454,351,0,0,0,60,60,46,0,0,0,59,35,2,52,52,6,127,103,17
        Margin of Error,,±62,±62,±62,±60,±60,±61,±202,±202,±199,±13,±13,±13,±38,±38,±24,±13,±13,±13,±88,±51,±4,±70,±70,±10,±108,±84,±18
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,91.70%,(X),100.00%,92.90%,(X),99.60%,77.00%,(X),-,-,(X),100.00%,76.70%,(X),-,-,(X),59.30%,3.40%,(X),100.00%,11.50%,(X),81.10%,13.40%
        Margin of Error,,(X),±7.9,±5.6,(X),±8.2,±6.0,(X),±0.7,±14.4,(X),**,**,(X),±42.5,±24.1,(X),**,**,(X),±8.5,±12.1,(X),±45.6,±29.1,(X),±22.3,±19.6
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,369,369,356,337,337,324,595,595,533,8,8,8,55,55,47,0,0,0,84,84,32,14,7,5,124,117,63
        Margin of Error,,±57,±57,±57,±58,±58,±56,±348,±348,±339,±12,±12,±12,±35,±35,±28,±13,±13,±13,±76,±76,±34,±37,±20,±20,±81,±75,±40
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,96.50%,(X),100.00%,96.10%,(X),100.00%,89.60%,(X),100.00%,100.00%,(X),100.00%,85.50%,(X),-,-,(X),100.00%,38.10%,(X),50.00%,35.70%,(X),94.40%,50.80%
        Margin of Error,,(X),±10.3,±3.4,(X),±11.2,±3.7,(X),±6.5,±8.2,(X),±100.0,±100.0,(X),±44.4,±17.1,(X),**,**,(X),±35.6,±55.9,(X),±47.4,±59.7,(X),±14.2,±42.4
"Census Tract 27.02, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,"3,214","3,170","2,918","2,947","2,947","2,767",552,313,83,5,5,5,271,271,242,0,0,0,480,217,81,313,175,107,868,523,247
        Margin of Error,,±769,±762,±766,±770,±770,±765,±314,±145,±64,±10,±10,±10,±147,±147,±130,±19,±19,±19,±286,±198,±63,±334,±130,±74,±442,±272,±148
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),98.60%,90.80%,(X),100.00%,93.90%,(X),56.70%,15.00%,(X),100.00%,100.00%,(X),100.00%,89.30%,(X),-,-,(X),45.20%,16.90%,(X),55.90%,34.20%,(X),60.30%,28.50%
        Margin of Error,,(X),±1.9,±4.3,(X),±1.3,±3.5,(X),±28.0,±10.3,(X),±100.0,±100.0,(X),±13.7,±14.4,(X),**,**,(X),±35.5,±15.4,(X),±32.8,±49.0,(X),±20.7,±18.5
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,"1,617","1,617","1,542","1,486","1,486","1,411",305,104,24,5,5,5,109,109,80,0,0,0,246,106,47,192,85,17,498,305,178
        Margin of Error,,±568,±568,±573,±565,±565,±568,±211,±92,±38,±10,±10,±10,±70,±70,±64,±19,±19,±19,±148,±103,±54,±278,±110,±27,±307,±184,±140
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,95.40%,(X),100.00%,95.00%,(X),34.10%,7.90%,(X),100.00%,100.00%,(X),100.00%,73.40%,(X),-,-,(X),43.10%,19.10%,(X),44.30%,8.90%,(X),61.20%,35.70%
        Margin of Error,,(X),±2.4,±5.0,(X),±2.7,±5.4,(X),±32.2,±13.2,(X),±100.0,±100.0,(X),±29.8,±38.0,(X),**,**,(X),±37.4,±23.6,(X),±16.4,±27.3,(X),±25.3,±32.2
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,"1,597","1,553","1,376","1,461","1,461","1,356",247,209,59,0,0,0,162,162,162,0,0,0,234,111,34,121,90,90,370,218,69
        Margin of Error,,±295,±295,±283,±298,±298,±279,±158,±134,±67,±19,±19,±19,±102,±102,±102,±19,±19,±19,±145,±104,±34,±85,±68,±68,±189,±144,±65
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),97.20%,86.20%,(X),100.00%,92.80%,(X),84.60%,23.90%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),47.40%,14.50%,(X),74.40%,74.40%,(X),58.90%,18.60%
        Margin of Error,,(X),±3.8,±6.3,(X),±2.7,±4.3,(X),±21.8,±22.9,(X),**,**,(X),±21.7,±21.7,(X),**,**,(X),±35.4,±14.1,(X),±35.4,±35.4,(X),±22.8,±15.0
"Census Tract 27.03, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,"1,174","1,098","1,069","1,037","1,032","1,011",562,499,202,0,0,0,51,51,51,0,0,0,118,16,16,121,117,97,389,212,178
        Margin of Error,,±206,±173,±170,±163,±163,±162,±263,±249,±201,±13,±13,±13,±65,±65,±65,±13,±13,±13,±99,±24,±24,±95,±95,±86,±152,±108,±117
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),93.50%,91.10%,(X),99.50%,97.50%,(X),88.80%,35.90%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),13.60%,13.60%,(X),96.70%,80.20%,(X),54.50%,45.80%
        Margin of Error,,(X),±6.6,±7.6,(X),±1.2,±2.3,(X),±13.3,±27.0,(X),**,**,(X),±46.1,±46.1,(X),**,**,(X),±24.2,±24.2,(X),±9.3,±26.8,(X),±22.5,±26.4
    Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,566,553,530,530,530,515,284,271,145,0,0,0,43,43,43,0,0,0,47,0,0,84,80,80,200,136,102
        Margin of Error,,±139,±131,±125,±128,±128,±125,±145,±142,±147,±13,±13,±13,±64,±64,±64,±13,±13,±13,±66,±13,±13,±82,±81,±81,±117,±97,±108
    Percent Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),97.70%,93.60%,(X),100.00%,97.20%,(X),95.40%,51.10%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),0.00%,0.00%,(X),95.20%,95.20%,(X),68.00%,51.00%
        Margin of Error,,(X),±4.8,±8.3,(X),±7.3,±3.8,(X),±8.1,±32.8,(X),**,**,(X),±50.2,±50.2,(X),**,**,(X),±48.0,±48.0,(X),±14.6,±14.6,(X),±29.9,±41.4
    Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,608,545,539,507,502,496,278,228,57,0,0,0,8,8,8,0,0,0,71,16,16,37,37,17,189,76,76
        Margin of Error,,±156,±132,±132,±127,±127,±127,±159,±147,±73,±13,±13,±13,±14,±14,±14,±13,±13,±13,±79,±24,±24,±45,±45,±28,±108,±53,±53
    Percent Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),89.60%,88.70%,(X),99.00%,97.80%,(X),82.00%,20.50%,(X),-,-,(X),100.00%,100.00%,(X),-,-,(X),22.50%,22.50%,(X),100.00%,45.90%,(X),40.20%,40.20%
        Margin of Error,,(X),±11.0,±11.0,(X),±2.5,±2.5,(X),±20.0,±24.5,(X),**,**,(X),±100.0,±100.0,(X),**,**,(X),±43.4,±43.4,(X),±54.1,±54.1,(X),±31.8,±31.8
"Census Tract 27.04, District of Columbia, District of Columbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,"1,219","1,219","1,090",977,977,938,894,894,292,96,37,37,276,255,189,0,0,0,287,0,0,126,126,90,779,412,262
        Margin of Error,,±330,±330,±299,±312,±312,±293,±782,±782,±222,±99,±57,±57,±211,±203,±195,±13,±13,±13,±316,±13,±13,±133,±133,±122,±352,±202,±157
    Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Estimate,,(X),100.00%,89.40%,(X),100.00%,96.00%,(X),100.00%,32.70%,(X),38.50%,38.50%,(X),92.40%,68.50%,(X),-,-,(X),0.00%,0.00%,(X),100.00%,71.40%,(X),52.90%,33.60%
        Margin of Error,,(X),±3.2,±8.5,(X),±4.0,±5.4,(X),±4.4,±11.7,(X),±56.4,±56.4,(X),±12.5,±32.4,(X),**,**,(X),±13.0,±13.0,(X),±26.7,±47.6,(X),±25.8,±21.6
